564, 642, 564, 591, 621, 591, 621, 642
675, 955, 671, 846, 1369, 823, 1372, 932
838, 1042, 836, 938, 1216, 931, 1218, 1035
905, 1140, 904, 1066, 1156, 1063, 1157, 1137
853, 1314, 851, 1243, 1497, 1220, 1500, 1291
559, 1314, 558, 1250, 801, 1247, 802, 1310
557, 1442, 555, 1373, 799, 1364, 802, 1434
878, 1459, 877, 1384, 1307, 1378, 1309, 1453
1006, 1564, 1004, 1500, 1374, 1491, 1376, 1555
680, 1569, 680, 1514, 796, 1514, 796, 1569
555, 1860, 555, 1535, 626, 1535, 626, 1860
966, 1654, 964, 1588, 1376, 1577, 1378, 1643
671, 1653, 671, 1598, 800, 1598, 800, 1653
927, 1741, 925, 1677, 1380, 1663, 1382, 1727
673, 1750, 671, 1684, 797, 1679, 800, 1745
1609, 1811, 1604, 1706, 1997, 1685, 2003, 1791
935, 1826, 934, 1763, 1390, 1753, 1391, 1817
671, 1828, 671, 1760, 891, 1760, 891, 1828
1471, 1896, 1468, 1839, 1533, 1835, 1536, 1893
1233, 1900, 1233, 1841, 1394, 1841, 1394, 1900
1618, 1953, 1611, 1843, 1992, 1818, 1999, 1929
671, 1914, 671, 1855, 800, 1855, 800, 1914
1237, 1985, 1237, 1928, 1394, 1928, 1394, 1985
1451, 1987, 1451, 1933, 1555, 1933, 1555, 1987
671, 1999, 671, 1946, 801, 1946, 801, 1999
1237, 2078, 1237, 2014, 1407, 2014, 1407, 2078
669, 2096, 669, 2030, 800, 2030, 800, 2096
1200, 2169, 1200, 2105, 1412, 2105, 1412, 2169
1491, 2170, 1488, 2112, 1555, 2109, 1558, 2167
666, 2182, 666, 2116, 800, 2116, 800, 2182
1419, 2266, 1249, 2263, 1250, 2197, 1420, 2200
1499, 2265, 1495, 2205, 1559, 2202, 1563, 2261
666, 2281, 664, 2214, 936, 2205, 938, 2272
521, 2373, 521, 2296, 664, 2296, 664, 2373
508, 2462, 508, 2392, 757, 2392, 757, 2462
1572, 2537, 1329, 2535, 1330, 2478, 1573, 2480
1581, 2645, 1329, 2632, 1333, 2561, 1584, 2574
1589, 2735, 1331, 2727, 1333, 2663, 1591, 2671
1858, 3882, 1858, 3798, 1998, 3798, 1998, 3882
