495, 1060, 494, 930, 1262, 926, 1262, 1056
770, 1193, 768, 1114, 986, 1109, 988, 1188
823, 1362, 821, 1298, 1242, 1287, 1244, 1351
491, 1366, 490, 1300, 769, 1296, 770, 1362
493, 1449, 492, 1383, 772, 1377, 773, 1443
824, 1475, 822, 1396, 1185, 1387, 1187, 1466
983, 1532, 981, 1477, 1182, 1471, 1184, 1526
503, 1556, 501, 1480, 797, 1474, 799, 1551
905, 1587, 905, 1517, 1257, 1517, 1257, 1587
505, 1665, 504, 1591, 799, 1588, 800, 1661
947, 1707, 945, 1639, 1260, 1626, 1263, 1694
663, 1786, 656, 1695, 992, 1671, 998, 1762
907, 1807, 907, 1739, 1264, 1739, 1264, 1807
661, 1886, 660, 1812, 805, 1809, 806, 1883
827, 1932, 825, 1859, 1269, 1851, 1270, 1924
607, 2000, 604, 1926, 740, 1920, 743, 1994
791, 2042, 789, 1973, 1271, 1958, 1273, 2027
518, 2282, 508, 2018, 569, 2015, 579, 2280
606, 2107, 604, 2035, 748, 2031, 750, 2103
1106, 2143, 1103, 2079, 1278, 2071, 1281, 2135
607, 2222, 605, 2146, 754, 2142, 756, 2218
1146, 2248, 1146, 2185, 1280, 2185, 1280, 2248
612, 2337, 608, 2262, 756, 2255, 760, 2329
521, 2562, 515, 2292, 578, 2290, 584, 2561
927, 2368, 925, 2302, 1283, 2295, 1285, 2360
614, 2459, 612, 2383, 760, 2378, 763, 2454
1020, 2478, 1018, 2414, 1287, 2407, 1289, 2471
614, 2575, 612, 2499, 763, 2494, 765, 2571
619, 2693, 617, 2616, 765, 2611, 767, 2688
620, 2812, 617, 2734, 847, 2724, 851, 2803
528, 3272, 518, 2995, 597, 2992, 607, 3269
