392, 1100, 379, 982, 1105, 904, 1117, 1023
562, 1194, 550, 1083, 946, 1039, 958, 1151
637, 1296, 629, 1216, 887, 1193, 894, 1273
597, 1492, 589, 1414, 1248, 1346, 1256, 1423
305, 1516, 299, 1445, 539, 1424, 546, 1494
627, 1648, 620, 1565, 1053, 1528, 1060, 1611
313, 1651, 306, 1579, 547, 1555, 554, 1626
443, 1785, 439, 1725, 554, 1717, 558, 1777
763, 1811, 758, 1743, 1132, 1719, 1137, 1787
334, 2101, 321, 1762, 392, 1760, 405, 2098
438, 1876, 434, 1818, 560, 1811, 563, 1870
724, 1914, 718, 1845, 1135, 1809, 1141, 1879
440, 1974, 436, 1906, 563, 1899, 567, 1966
691, 2004, 686, 1938, 1134, 1901, 1139, 1967
445, 2059, 444, 1990, 658, 1984, 659, 2054
699, 2103, 693, 2037, 1140, 1996, 1146, 2062
1228, 2089, 1228, 2028, 1292, 2028, 1292, 2089
452, 2153, 448, 2089, 573, 2083, 576, 2146
991, 2170, 986, 2106, 1149, 2092, 1155, 2156
1311, 2194, 1207, 2189, 1210, 2133, 1314, 2137
457, 2245, 453, 2187, 576, 2179, 580, 2237
994, 2265, 990, 2198, 1154, 2191, 1157, 2258
458, 2343, 455, 2276, 577, 2269, 581, 2335
991, 2364, 988, 2297, 1158, 2288, 1161, 2355
1246, 2384, 1243, 2322, 1308, 2319, 1311, 2381
457, 2433, 457, 2364, 580, 2364, 580, 2433
959, 2469, 954, 2400, 1167, 2386, 1171, 2455
1257, 2486, 1250, 2423, 1310, 2417, 1316, 2480
461, 2534, 457, 2468, 708, 2453, 711, 2519
1009, 2566, 1006, 2495, 1174, 2489, 1176, 2560
328, 2630, 328, 2558, 457, 2558, 457, 2630
325, 2725, 323, 2655, 542, 2651, 543, 2721
1078, 2876, 1078, 2798, 1328, 2798, 1328, 2876
1335, 2982, 1036, 2968, 1039, 2899, 1338, 2913
