523, 786, 449, 785, 451, 531, 525, 532
1258, 1317, 468, 1307, 469, 1188, 1259, 1198
742, 1466, 742, 1383, 969, 1383, 969, 1466
735, 1641, 449, 1638, 450, 1571, 736, 1573
1221, 1645, 788, 1641, 789, 1573, 1222, 1578
450, 1723, 450, 1657, 735, 1657, 735, 1723
1157, 1761, 787, 1755, 788, 1678, 1158, 1684
457, 1833, 457, 1755, 757, 1755, 757, 1833
1236, 1872, 875, 1867, 877, 1796, 1237, 1802
455, 1946, 455, 1871, 755, 1871, 755, 1946
917, 1985, 917, 1919, 1237, 1919, 1237, 1985
605, 2072, 602, 1979, 947, 1968, 950, 2061
1235, 2099, 869, 2091, 870, 2023, 1236, 2030
749, 2175, 600, 2173, 601, 2099, 751, 2101
1233, 2221, 785, 2218, 786, 2142, 1234, 2145
541, 2287, 541, 2214, 682, 2214, 682, 2287
1226, 2324, 746, 2318, 746, 2253, 1227, 2258
441, 2574, 441, 2305, 505, 2305, 505, 2574
541, 2400, 541, 2326, 683, 2326, 683, 2400
1055, 2432, 1055, 2369, 1233, 2369, 1233, 2432
535, 2516, 535, 2441, 685, 2441, 685, 2516
1096, 2544, 1096, 2482, 1233, 2482, 1233, 2544
535, 2632, 535, 2557, 683, 2557, 683, 2632
499, 2855, 436, 2855, 438, 2585, 502, 2585
869, 2660, 869, 2598, 1233, 2598, 1233, 2660
682, 2757, 532, 2755, 534, 2679, 683, 2682
959, 2773, 958, 2711, 1232, 2709, 1232, 2771
680, 2875, 528, 2871, 530, 2795, 682, 2799
530, 2991, 530, 2914, 676, 2914, 676, 2991
528, 3107, 528, 3030, 755, 3030, 755, 3107
0, 3275, -1, 3142, 825, 3129, 827, 3261
0, 3432, -1, 3294, 1504, 3278, 1506, 3416
0, 3583, 0, 3462, 1515, 3452, 1516, 3574
